StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Demographic_Q1,Demographic_Q2,Demographic_Q3,Demographic_Q4,Demographic_Q5,Demographic_Q6,WHO_Q1,WHO_Q2,WHO_Q3,WHO_Q4,WHO_Q5,PEB_Q1,PEB_Q2,PEB_Q3,PEB_Q4,PEB_Q5,PEB_Q6,PEB_Q7,PEB_Q8,PEB_Q9,PEB_Q10,PEB_Q11,PEB_Q12,PEB_Q13,NR_Q1,NR_Q2,NR_Q3,NR_Q4,NR_Q5,NR_Q6,NR_Q7,NR_Q8,NR_Q9,NR_Q10,NR_Q11,NR_Q12,NR_Q13,NR_Q14,NR_Q15,NR_Q16,NR_Q17,NR_Q18,NR_Q19,NR_Q20,NR_Q21
12/12/2023 07:18,12/12/2023 07:21,100,219,TRUE,12/12/2023 07:21,R_3PnHIBM7QFdpPCd,36,Man,Large city,Employed,2,Over 6 hours,Most of the time,Most of the time,Less than half of the time,Less than half of the time,All the time,Never,Never,Often,Rarely,Very often,Very often,Very often,Never,Never,Never,Very often,Often,Occasionally,Disagree a little,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little
12/12/2023 07:21,12/12/2023 07:32,100,612,TRUE,12/12/2023 07:32,R_2pQaBsWQrabmKiQ,63,Woman,Small city or town,Self-employed,3,Over 6 hours,Most of the time,Most of the time,Most of the time,More than half of the time,Most of the time,Never,Never,Occasionally,Never,Never,Never,Never,Often,Never,Never,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly
12/12/2023 07:29,12/12/2023 07:33,100,205,TRUE,12/12/2023 07:33,R_2wMmS34SKpu23fj,36,Woman,Small city or town,Employed,,Up to 2 hours,More than half of the time,Less than half of the time,Less than half of the time,Some of the time,Less than half of the time,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Very often,Often,Very often,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree a little
12/12/2023 08:37,12/12/2023 08:40,100,208,TRUE,12/12/2023 08:40,R_26beSmI1CFTDlBI,49,Woman,Small city or town,Employed,,3 hours,Less than half of the time,More than half of the time,Some of the time,Some of the time,More than half of the time,Rarely,Never,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Often,Rarely,Never,Often,Often,Occasionally,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree
12/12/2023 09:36,12/12/2023 09:41,100,287,TRUE,12/12/2023 09:41,R_VUaxF6agmMGwtot,42,Woman,Small city or town,Employed,7,Over 6 hours,Most of the time,More than half of the time,Most of the time,More than half of the time,Most of the time,Never,Never,Occasionally,Rarely,Rarely,Occasionally,Never,Rarely,Never,Never,Very often,Very often,Very often,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree a little,Disagree a little,Neither agree nor disagree
12/12/2023 11:24,12/12/2023 11:32,100,478,TRUE,12/12/2023 11:32,R_1hMaU3zVB6g1sFU,37,Man,Suburb near a large city,Unemployed,2,Up to 2 hours,More than half of the time,Most of the time,Less than half of the time,At no time,Most of the time,Rarely,Never,Rarely,Never,Never,Never,Rarely,Often,Never,Never,Very often,Very often,Often,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree
12/12/2023 15:59,12/12/2023 16:03,100,258,TRUE,12/12/2023 16:03,R_2xz8sJ3vbA7nxfh,56,Woman,Rural area,Self-employed,7,Over 6 hours,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Often,Never,Often,Rarely,Often,Never,Very often,Very often,Rarely,Rarely,Very often,Very often,Occasionally,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
12/12/2023 16:56,12/12/2023 17:01,100,314,TRUE,12/12/2023 17:01,R_piaL0RtPuWmLwm5,43,Woman,Rural area,Self-employed,3,Over 6 hours,Most of the time,More than half of the time,More than half of the time,Less than half of the time,More than half of the time,Rarely,Often,Often,Rarely,Often,Occasionally,Often,Very often,Very often,Very often,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
12/12/2023 17:10,12/12/2023 17:43,100,2012,TRUE,12/12/2023 17:43,R_2R4VG4YKCNyAcPo,65 and over,Woman,Suburb near a large city,Retired,2,3 hours,More than half of the time,More than half of the time,Some of the time,More than half of the time,More than half of the time,Rarely,Rarely,Occasionally,Never,Occasionally,Often,Occasionally,Very often,Rarely,Occasionally,Very often,Very often,Very often,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree a little,Neither agree nor disagree
12/12/2023 18:31,12/12/2023 18:36,100,286,TRUE,12/12/2023 18:36,R_uyWlaetcSB6KEcF,59,Man,Small city or town,Unemployed,2,Over 6 hours,More than half of the time,More than half of the time,More than half of the time,Less than half of the time,Most of the time,Often,Often,Often,Often,Occasionally,Occasionally,Often,Very often,Occasionally,Occasionally,Very often,Often,Often,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little
12/12/2023 19:11,12/12/2023 19:33,100,1316,TRUE,12/12/2023 19:33,R_2XaKYqnBXiSeXis,64,Woman,Rural area,Carer,,2 hours,Some of the time,,Less than half of the time,Some of the time,More than half of the time,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Often,Rarely,Rarely,Very often,Often,Often,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Agree a little
12/12/2023 20:58,12/12/2023 21:04,100,339,TRUE,12/12/2023 21:04,R_1KwhyiAGX2d2ds8,56,Woman,Suburb near a large city,Business owner,6,Over 6 hours,Most of the time,Less than half of the time,Less than half of the time,Less than half of the time,More than half of the time,Never,Never,Occasionally,Never,Occasionally,Rarely,Occasionally,Often,Rarely,Occasionally,Very often,Often,Often,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree a little
12/12/2023 22:49,12/12/2023 22:56,100,392,TRUE,12/12/2023 22:56,R_2rPbTIgbleR5GtI,48,Man,Large city,Employed,3,5 hours,Some of the time,Some of the time,Some of the time,At no time,At no time,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Disagree a little
12/12/2023 23:30,12/12/2023 23:38,100,515,TRUE,12/12/2023 23:38,R_1Ed2lgucPtWin2a,57,Woman,Small city or town,Employed,,Over 6 hours,Most of the time,Most of the time,More than half of the time,More than half of the time,Most of the time,Never,Never,Often,Occasionally,Occasionally,Very often,Often,Very often,Never,Never,Very often,Very often,Very often,Agree a little,Disagree strongly,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little
13/12/2023 09:13,13/12/2023 09:19,100,388,TRUE,13/12/2023 09:19,R_3je486InSv3B5HX,44,Woman,Rural area,Student,5,Over 6 hours,Most of the time,Most of the time,Most of the time,Most of the time,All the time,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Often,Often,Very often,Occasionally,Occasionally,Very often,Very often,Very often,Agree strongly,Agree a little,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly
13/12/2023 11:17,13/12/2023 13:48,100,9042,TRUE,13/12/2023 13:48,R_2Vrr87lG9ppxnWz,50,Man,Large city,Self-employed,,Over 6 hours,More than half of the time,Most of the time,Less than half of the time,Less than half of the time,Less than half of the time,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very often,Very often,Occasionally,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Disagree a little
13/12/2023 15:39,13/12/2023 15:43,100,265,TRUE,13/12/2023 15:43,R_29oy5KKkbAjC2aA,37,Man,Small city or town,Student,,Over 6 hours,More than half of the time,More than half of the time,More than half of the time,More than half of the time,More than half of the time,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Occasionally,Never,Never,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
13/12/2023 15:41,13/12/2023 15:46,100,311,TRUE,13/12/2023 15:46,R_3D0J5sVStdn33tW,28,Woman,Large city,Student,1,Over 6 hours,Some of the time,Some of the time,Some of the time,Some of the time,More than half of the time,Occasionally,Occasionally,Occasionally,Never,Often,Often,Very often,Very often,Rarely,Never,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly
13/12/2023 16:03,13/12/2023 16:11,100,464,TRUE,13/12/2023 16:11,R_Z9TWhOYsVFKlVy9,27,Woman,Suburb near a large city,Student,4,3 hours,All the time,All the time,All the time,Most of the time,Most of the time,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Often,Occasionally,Rarely,Occasionally,Often,Occasionally,Neither agree nor disagree,Disagree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little
13/12/2023 16:08,13/12/2023 16:11,100,204,TRUE,13/12/2023 16:11,R_9EreWL0Fq2p1R1D,23,Woman,Small city or town,Student,3,3 hours,More than half of the time,Less than half of the time,Some of the time,Less than half of the time,Less than half of the time,Rarely,Never,Rarely,Never,Occasionally,Never,Never,Rarely,Never,Never,Very often,Very often,Very often,Agree a little,Disagree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly
13/12/2023 16:19,13/12/2023 16:23,100,215,TRUE,13/12/2023 16:23,R_pAiE9yDl9t7oxWx,24,Man,Large city,Student,2,3 hours,Less than half of the time,Less than half of the time,Some of the time,At no time,Some of the time,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Often,Rarely,Rarely,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree strongly,Neither agree nor disagree,Agree a little,Disagree a little
13/12/2023 16:22,13/12/2023 16:27,100,289,TRUE,13/12/2023 16:27,R_RwfLd0YPlgq0Yhj,25,Woman,Large city,Self-employed,2,5 hours,Most of the time,All the time,Most of the time,More than half of the time,More than half of the time,Occasionally,Often,Often,Rarely,Very often,Often,Often,Very often,Never,Often,Very often,Very often,Very often,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree strongly,Agree a little,Disagree a little,Disagree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree a little,Agree strongly
13/12/2023 16:23,13/12/2023 16:42,100,1150,TRUE,13/12/2023 16:42,R_1dHt6mNeqc9a8Zd,18,Woman,Large city,Student,4,4 hours,Less than half of the time,Less than half of the time,Less than half of the time,Most of the time,More than half of the time,Very often,Very often,Very often,Often,Very often,Occasionally,Often,Occasionally,Rarely,Never,Very often,Occasionally,Very often,Neither agree nor disagree,Disagree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree strongly
13/12/2023 16:41,13/12/2023 16:57,100,929,TRUE,13/12/2023 16:57,R_2ccqqnltbzC5guQ,31,Woman,Suburb near a large city,Employed,4,30 minutes - 1 hour,Most of the time,More than half of the time,Less than half of the time,More than half of the time,Less than half of the time,Occasionally,Rarely,Never,Never,Occasionally,Often,Often,Occasionally,Rarely,Rarely,Very often,Very often,Very often,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Neither agree nor disagree,Agree a little
13/12/2023 16:52,13/12/2023 16:58,100,339,TRUE,13/12/2023 16:58,R_2V3kFQlILeUOex5,49,Woman,Rural area,Self-employed,3,Over 6 hours,Less than half of the time,More than half of the time,Some of the time,Some of the time,Most of the time,Rarely,Rarely,Often,Occasionally,Often,Occasionally,Often,Often,Never,Rarely,Very often,Very often,Very often,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree a little
13/12/2023 16:55,13/12/2023 16:59,100,247,TRUE,13/12/2023 16:59,R_1KqMn8aFQ29xuAq,39,Man,Large city,Employed,,Over 6 hours,Some of the time,Some of the time,More than half of the time,More than half of the time,Most of the time,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Rarely,Rarely,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Agree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
13/12/2023 17:07,13/12/2023 17:16,100,551,TRUE,13/12/2023 17:16,R_3hlTlMYSHKUlRO8,25,Woman,Large city,Employed,2,Over 6 hours,More than half of the time,Less than half of the time,Most of the time,Some of the time,Most of the time,Never,Never,Rarely,Never,Occasionally,Very often,Very often,Very often,Never,Occasionally,Very often,Very often,Very often,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree a little,Agree strongly,Disagree a little
13/12/2023 17:26,13/12/2023 17:33,100,406,TRUE,13/12/2023 17:33,R_PTyOh3gZnueYqDD,50,Man,Small city or town,Student,3,5 hours,All the time,Most of the time,Most of the time,Most of the time,Most of the time,Occasionally,Never,Occasionally,Never,Rarely,Never,Rarely,Often,Occasionally,Rarely,Very often,Often,Often,Agree strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree a little
13/12/2023 17:23,13/12/2023 17:43,100,1196,TRUE,13/12/2023 17:43,R_1kS3trWhhpXGinv,29,Man,Suburb near a large city,Employed,8,3 hours,Less than half of the time,More than half of the time,Most of the time,Some of the time,Less than half of the time,Rarely,Never,Never,Very often,Rarely,Rarely,Very often,Often,Never,Never,Very often,Very often,Occasionally,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little
13/12/2023 17:43,13/12/2023 17:49,100,396,TRUE,13/12/2023 17:49,R_3DtMxUQqgVuHLpG,21,Man,Large city,Student,2,5 hours,More than half of the time,Most of the time,Less than half of the time,Some of the time,More than half of the time,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Very often,Rarely,Occasionally,Never,Very often,Very often,Very often,Disagree a little,Disagree a little,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree a little,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree
13/12/2023 18:04,13/12/2023 18:12,100,448,TRUE,13/12/2023 18:12,R_4UlZYTQJ0atJO0h,21,Man,Small city or town,Student,2,2 hours,More than half of the time,Most of the time,Less than half of the time,Some of the time,More than half of the time,Rarely,Never,Occasionally,Never,Rarely,Often,Rarely,Rarely,Never,Never,Often,Occasionally,Often,Agree a little,Disagree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Neither agree nor disagree
13/12/2023 18:20,13/12/2023 18:28,100,450,TRUE,13/12/2023 18:28,R_2ZDfCLaMM1k7UtQ,17,Woman,Small city or town,Student,2,Over 6 hours,More than half of the time,More than half of the time,Most of the time,More than half of the time,More than half of the time,Often,Often,Occasionally,Rarely,Never,Rarely,Often,Occasionally,Often,Occasionally,Very often,Often,Often,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
13/12/2023 18:21,13/12/2023 18:28,100,423,TRUE,13/12/2023 18:28,R_4YVMZOfZCe0OZI0,59,Woman,Small city or town,Retired,1,Over 6 hours,Most of the time,All the time,All the time,All the time,All the time,Occasionally,Occasionally,Occasionally,Never,Often,Occasionally,Often,Very often,Occasionally,Occasionally,Very often,Very often,Very often,Agree strongly,Disagree a little,Disagree strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little
13/12/2023 20:09,13/12/2023 20:17,100,460,TRUE,13/12/2023 20:17,R_3J34VhT7IlBXRm1,52,Woman,Rural area,Other,,Over 6 hours,Most of the time,More than half of the time,Some of the time,At no time,More than half of the time,Never,Never,Occasionally,Never,Rarely,Never,Rarely,Often,Never,Never,Often,Very often,Very often,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little
13/12/2023 21:20,13/12/2023 21:26,100,371,TRUE,13/12/2023 21:26,R_2k6XQ85MrR6YBhY,57,Woman,Large city,Retired,3,3 hours,Less than half of the time,Less than half of the time,Less than half of the time,Less than half of the time,More than half of the time,Rarely,Never,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Never,Very often,Often,Occasionally,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly
13/12/2023 23:00,13/12/2023 23:05,100,294,TRUE,13/12/2023 23:05,R_42qRxFNv4T6eTtA,46,Woman,Small city or town,Employed,,4 hours,Some of the time,Some of the time,Some of the time,At no time,Some of the time,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Occasionally,Never,Never,Very often,Occasionally,Occasionally,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little
14/12/2023 00:26,14/12/2023 00:32,100,338,TRUE,14/12/2023 00:32,R_3ni9IbH6yOc5qDu,22,Woman,Large city,Student,2,Up to 2 hours,More than half of the time,Less than half of the time,At no time,Some of the time,All the time,Occasionally,Rarely,Never,Never,Never,Never,Very often,Very often,Rarely,Occasionally,Very often,Rarely,Occasionally,Agree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly
14/12/2023 00:39,14/12/2023 00:46,100,402,TRUE,14/12/2023 00:46,R_5aIzgGzkSNPyHvP,56,Woman,Rural area,Business owner,1,Over 6 hours,Most of the time,Less than half of the time,Less than half of the time,At no time,All the time,Occasionally,Rarely,Occasionally,Never,Very often,Occasionally,Often,Often,Occasionally,Rarely,Very often,Very often,Very often,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly
14/12/2023 02:37,14/12/2023 02:42,100,302,TRUE,14/12/2023 02:42,R_5G3xIi4iKoJYLq9,20,Woman,Large city,Student,2,4 hours,Some of the time,Some of the time,Less than half of the time,At no time,Some of the time,Occasionally,Rarely,Very often,Occasionally,Occasionally,Occasionally,Very often,Often,Rarely,Occasionally,Very often,Often,Often,Agree a little,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Disagree a little
14/12/2023 06:40,14/12/2023 06:45,100,330,TRUE,14/12/2023 06:45,R_6zjcvDghIKf7kOl,64,Woman,Rural area,Employed,4,5 hours,Some of the time,Some of the time,Some of the time,At no time,Some of the time,Rarely,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Never,Never,Very often,Very often,Very often,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly
14/12/2023 07:51,14/12/2023 07:56,100,258,TRUE,14/12/2023 07:56,R_8QrCFC0fWvlpCPC,34,Woman,Small city or town,Student,1,Over 6 hours,Most of the time,More than half of the time,More than half of the time,More than half of the time,Most of the time,Rarely,Rarely,Often,Never,Often,Never,Often,Occasionally,Rarely,Never,Very often,Often,Occasionally,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree strongly
